catalog_product_id,demo_product_id,source_object_id,product_name_zh,product_name_en,craft_category_zh,craft_category_en,period_text,region_text,material_text,dimensions_text,introduction_zh,introduction_en,image_path,source_url,image_source_url,source_name,source_object_number,image_license,commercial_status,verification_status
CAT-REF-018,prod_ref_018,51184,莲花形茶壶,Teapot in Shape of a Lotus Plant,传统茶生活器物馆藏参考,Traditional tea-lifestyle references,ca. 1700,China,Porcelain with raised and applied decoration under colored glazes (Jingdezhen ware),H. to handle 3 1/2 in. (8.9 cm); W. (max.) 5 3/8 in. (13.7 cm),大都会艺术博物馆开放馆藏对象，仅作为传统茶生活器物馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Traditional tea-lifestyle references and visual reference; it is not a sale listing.,assets/catalog/products/met-51184.jpg,https://www.metmuseum.org/art/collection/search/51184,https://images.metmuseum.org/CRDImages/as/web-large/DP-14606-035.jpg,The Metropolitan Museum of Art,"79.2.1201a, b",CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-019,prod_ref_019,42323,梅花形茶壶,Teapot in the Shape of a Plum Blossom,传统茶生活器物馆藏参考,Traditional tea-lifestyle references,early 17th century,China,Stoneware (Yixing ware),H. 3 3/4 in. (9.5 cm),大都会艺术博物馆开放馆藏对象，仅作为传统茶生活器物馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Traditional tea-lifestyle references and visual reference; it is not a sale listing.,assets/catalog/products/met-42323.jpg,https://www.metmuseum.org/art/collection/search/42323,https://images.metmuseum.org/CRDImages/as/web-large/DP342745.jpg,The Metropolitan Museum of Art,"1982.362a, b",CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-020,prod_ref_020,460687,茶壶与托碟,Teapot (a) and saucer (b),传统茶生活器物馆藏参考,Traditional tea-lifestyle references,ca. 1740 (teapot); late 18th century (saucer),Chinese,"Porcelain with full relief decoration, painted in overglaze enamels.","Height of pot: 8.2 cm.
Diameter of saucer: 15 cm.",大都会艺术博物馆开放馆藏对象，仅作为传统茶生活器物馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Traditional tea-lifestyle references and visual reference; it is not a sale listing.,assets/catalog/products/met-460687.jpg,https://www.metmuseum.org/art/collection/search/460687,https://images.metmuseum.org/CRDImages/rl/web-large/SLP1724-1.jpg,The Metropolitan Museum of Art,"1975.1.1724 a,b",CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-021,prod_ref_021,712497,《水浒传》插图本,The Water Margin,雕版印刷与版画馆藏参考,Chinese woodblock-print references,ca. 1610–40,China,Woodblock-printed book; ink on paper,H. 10 1/8 × W. 6 1/2 × D. 2 1/4 in. (25.7 × 16.5 × 5.7 cm),大都会艺术博物馆开放馆藏对象，仅作为雕版印刷与版画馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese woodblock-print references and visual reference; it is not a sale listing.,assets/catalog/products/met-712497.jpg,https://www.metmuseum.org/art/collection/search/712497,https://images.metmuseum.org/CRDImages/as/web-large/DP-18167-001.jpg,The Metropolitan Museum of Art,2020.73.4,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-022,prod_ref_022,60764,《太平府山水》图册,Landscapes of Taiping Prefecture,雕版印刷与版画馆藏参考,Chinese woodblock-print references,1648,China,Woodblock-printed book; ink on paper,H. 8 7/8 in. (22.5 cm); W. 6 in. (15.2 cm); D. 1 in. (2.5 cm),大都会艺术博物馆开放馆藏对象，仅作为雕版印刷与版画馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese woodblock-print references and visual reference; it is not a sale listing.,assets/catalog/products/met-60764.jpg,https://www.metmuseum.org/art/collection/search/60764,https://images.metmuseum.org/CRDImages/as/web-large/CIB8_d1.jpg,The Metropolitan Museum of Art,CIB8,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-023,prod_ref_023,63375,《十竹斋画谱》册页,Page from Ten Bamboo Studio Manual of Painting and Calligraphy,雕版印刷与版画馆藏参考,Chinese woodblock-print references,first edition printed in 1633,China,Individual leaf from a woodblock-printed book; ink and color on paper,9 1/2 x 10 13/16 in. (24.1 x 27.5 cm),大都会艺术博物馆开放馆藏对象，仅作为雕版印刷与版画馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese woodblock-print references and visual reference; it is not a sale listing.,assets/catalog/products/met-63375.jpg,https://www.metmuseum.org/art/collection/search/63375,https://images.metmuseum.org/CRDImages/as/web-large/LC-CP56_001.jpg,The Metropolitan Museum of Art,CP56,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-024,prod_ref_024,63372,《十竹斋画谱》单页,Leaf from the Ten Bamboo Studio Manual of Painting and Calligraphy,雕版印刷与版画馆藏参考,Chinese woodblock-print references,first edition printed in 1633,China,Individual leaf from a printed book; ink and color on paper,9 1/2 x 10 13/16 in. (24.1 x 27.5 cm),大都会艺术博物馆开放馆藏对象，仅作为雕版印刷与版画馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese woodblock-print references and visual reference; it is not a sale listing.,assets/catalog/products/met-63372.jpg,https://www.metmuseum.org/art/collection/search/63372,https://images.metmuseum.org/CRDImages/as/web-large/LC-CP54_001.jpg,The Metropolitan Museum of Art,CP54,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-025,prod_ref_025,912945,内贴《姑苏冬日美人图》木箱,"Wooden chest with print ""Gusu Beauty in Winter"" pasted inside",雕版印刷与版画馆藏参考,Chinese woodblock-print references,1767?,"China, Suzhou (print)",Pinewood (chest); polychrome woodblock print; ink and color on paper,H. 26 1/8 in. (66.3 cm); W. 23 1/4 in. (59 cm); L. 47 1/4 in. (120 cm),大都会艺术博物馆开放馆藏对象，仅作为雕版印刷与版画馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese woodblock-print references and visual reference; it is not a sale listing.,assets/catalog/products/met-912945.jpg,https://www.metmuseum.org/art/collection/search/912945,https://images.metmuseum.org/CRDImages/as/web-large/DP-41019-004.jpg,The Metropolitan Museum of Art,2025.460,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-026,prod_ref_026,35993,书法折扇册页,Calligraphy,中国书法馆藏参考,Chinese calligraphy references,Date not specified in museum record,China,Folding fan mounted as an album leaf; ink on paper,7 3/8 x 21 in. (18.7 x 53.3 cm),大都会艺术博物馆开放馆藏对象，仅作为中国书法馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese calligraphy references and visual reference; it is not a sale listing.,assets/catalog/products/met-35993.jpg,https://www.metmuseum.org/art/collection/search/35993,https://images.metmuseum.org/CRDImages/as/web-large/DP153868.jpg,The Metropolitan Museum of Art,13.100.82,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-027,prod_ref_027,65628,为茂叔作书画册,Album of painting and calligraphy for Maoshu,中国书法馆藏参考,Chinese calligraphy references,1666–80,China,Album of fourteen paintings and facing pages of calligraphy; ink and color on paper,"Image (each leaf, various image sizes): 13 3/4 × 11 1/8 in. (34.9 × 28.3 cm)
Each double leaf: 13 3/4 × 22 1/4 in. (34.9 × 56.5 cm)
Album: 13 3/4 × 11 1/8 × 1 1/4 in. (34.9 × 28.3 × 3.2 cm)",大都会艺术博物馆开放馆藏对象，仅作为中国书法馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese calligraphy references and visual reference; it is not a sale listing.,assets/catalog/products/met-65628.jpg,https://www.metmuseum.org/art/collection/search/65628,https://images.metmuseum.org/CRDImages/as/web-large/DP-13189-002_crd.jpg,The Metropolitan Museum of Art,2015.784.7,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-028,prod_ref_028,49029,清凉山题诗,Poem written on Mount Qingliang,中国书法馆藏参考,Chinese calligraphy references,dated 1641,China,Hanging scroll; ink on paper,"Image: 11 ft. 6 1/4 in. × 29 1/4 in. (351.2 × 74.3 cm)
Overall with mounting: 14 ft. 1 1/2 in. × 39 in. (430.5 × 99.1 cm)
Overall with knobs: 14 ft. 1 1/2 in. × 43 1/2 in. (430.5 × 110.5 cm)",大都会艺术博物馆开放馆藏对象，仅作为中国书法馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese calligraphy references and visual reference; it is not a sale listing.,assets/catalog/products/met-49029.jpg,https://www.metmuseum.org/art/collection/search/49029,https://images.metmuseum.org/CRDImages/as/web-large/DP-35895-002.jpg,The Metropolitan Museum of Art,1989.363.116,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-029,prod_ref_029,65630,隶书格言,Poetic maxim in clerical script,中国书法馆藏参考,Chinese calligraphy references,dated 1691,China,Hanging scroll; ink on paper,"Image: 45 1/2 × 17 3/4 in. (115.6 × 45.1 cm)
Overall with mounting: 97 3/4 × 25 1/2 in. (248.3 × 64.8 cm)
Overall with knobs: 97 3/4 × 29 1/4 in. (248.3 × 74.3 cm)",大都会艺术博物馆开放馆藏对象，仅作为中国书法馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese calligraphy references and visual reference; it is not a sale listing.,assets/catalog/products/met-65630.jpg,https://www.metmuseum.org/art/collection/search/65630,https://images.metmuseum.org/CRDImages/as/web-large/DP146576.jpg,The Metropolitan Museum of Art,2015.784.9,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
CAT-REF-030,prod_ref_030,51784,“福”字书法,"Calligraphy: ""Happiness""",中国书法馆藏参考,Chinese calligraphy references,18th–19th century,China,Hanging scroll; ink on gold-flecked paper,45 x 24 1/2 in. (114.3 x 62.2 cm),大都会艺术博物馆开放馆藏对象，仅作为中国书法馆藏参考与视觉参考，不是在售商品。,An Open Access Met collection object used only as a Chinese calligraphy references and visual reference; it is not a sale listing.,assets/catalog/products/met-51784.jpg,https://www.metmuseum.org/art/collection/search/51784,https://images.metmuseum.org/CRDImages/as/web-large/DP-41813-002.jpg,The Metropolitan Museum of Art,52.177.9,CC0 1.0 / Public Domain,catalog_reference_not_for_sale,source_verified_2026-07-30
